token_id,rarity_score,last_sale_price,price,priceUsd,preds,resids,abs_resids
8357,99.8016040104637,0.329,0.33,792.0824419693522,1195.8490190463697,-403.7665770770175,403.7665770770175
3728,32.98300207914595,0.205,0.198,913.8490455675884,1317.5140075427423,-403.6649619751539,403.6649619751539
7601,148.09902737060222,0.1,0.08,310.8889363764237,714.5113735638653,-403.62243718744156,403.62243718744156
5088,240.0606333067169,0.08,0.08,231.47085924636,-172.02902701700646,403.4998862633664,403.4998862633664
9242,94.074796404586,1.49,1.25,3156.42708722949,2753.5791233109003,402.8479639185898,402.8479639185898
7362,83.20880477756852,0.232,0.229,641.682311237584,1044.373715098678,-402.69140386109405,402.69140386109405
1473,54.38244772041855,0.18,0.211,877.6856662933559,1280.0827598824355,-402.39709358907965,402.39709358907965
1557,41.27191856698889,1.25,0.3569,849.1508183549438,1251.3057587993944,-402.15494044445063,402.15494044445063
8212,352.3399685241532,0.25,1.269,5747.399281307763,5345.642448552522,401.7568327552408,401.7568327552408
650,46.7886402989129,1.269,0.2,905.8154895678114,1307.3395010401146,-401.5240114723032,401.5240114723032
2859,209.3887853707978,0.34,0.352,1152.7249770674125,751.6469551566344,401.07802191077815,401.07802191077815
2130,181.9351799479922,0.59,0.6,1846.2258421366453,2247.1866605759033,-400.960818439258,400.960818439258
4589,145.54723251949915,0.309,0.28,1302.1508241715865,1702.5063331697227,-400.3555089981362,400.3555089981362
1890,139.4305975782847,0.777,0.698,2147.7760630189646,1747.9053047521916,399.870758266773,399.870758266773
6999,99.2565393526246,0.7,0.6,1739.504315111576,1339.8981948297749,399.60612028180117,399.60612028180117
9228,23.184366136319177,0.096,0.069,280.0636516935338,678.9608921713913,-398.89724047785745,398.89724047785745
9592,42.640954595850815,0.225,0.209,954.564326388883,1353.443398221393,-398.8790718325099,398.8790718325099
9120,73.8948523365372,0.467,0.6,1739.504315111576,1340.6328739061505,398.8714412054255,398.8714412054255
4893,95.9389525477742,0.24,0.444,1798.4066104522583,1399.7965139412158,398.61009651104246,398.61009651104246
2660,52.37855429994699,0.27,0.239,740.3846124624935,1138.9937379230382,-398.60912546054476,398.60912546054476
453,53.07106962880521,0.22222,0.22,561.6714380246788,960.183314830136,-398.5118768054573,398.5118768054573
1393,65.46710087865125,0.186,0.189,832.8111120557559,1231.293698613059,-398.4825865573031,398.4825865573031
1582,162.83221840963685,0.23,0.279,1269.7358876243188,872.1217853078728,397.61410231644606,397.61410231644606
9997,189.4508600249553,0.2,0.29,1313.4324598733265,916.0278158417696,397.4046440315569,397.4046440315569
2159,185.7358764474418,1.142,1.1,2777.6558367619514,2380.643681270478,397.01215549147355,397.01215549147355
8017,40.14321860340005,0.298,0.175,807.6948635067071,1204.6141063010193,-396.91924279431225,396.91924279431225
8483,112.90102160362596,0.17,0.175,796.7227532880411,1193.4167003221426,-396.6939470341015,396.6939470341015
4953,84.32565622391265,0.548,0.54,1567.1082548343472,1170.455677697644,396.65257713670326,396.65257713670326
3920,184.8541921045768,0.23,0.29,1321.678856864563,925.4737896764321,396.2050671881308,396.2050671881308
1569,81.94801824854909,0.599,0.733,2125.094438294642,1729.0280901552467,396.06634813939513,396.06634813939513
9699,96.7871864185933,0.9,0.86,2171.6218360138887,1776.1562024911425,395.4656335227462,395.4656335227462
2605,57.755973657920514,0.294,0.188,890.5423876981259,1285.834153704911,-395.291766006785,395.291766006785
3067,44.25076786851295,0.125,0.14,566.3498526500306,961.4958911288436,-395.146038478813,395.146038478813
4447,124.3325626748738,0.175,0.199,934.10292277522,1329.1911703964743,-395.08824762125425,395.08824762125425
6654,120.2189005298563,0.205,0.2,923.0798440076652,1318.1000153568461,-395.02017134918094,395.02017134918094
1961,84.36411482823512,0.469,0.3,886.1910703519662,1281.117393908391,-394.9263235564248,394.9263235564248
5752,24.18988408670277,0.03,0.029,109.47594599630337,504.1221062160762,-394.6461602197728,394.6461602197728
2049,67.73073816667633,0.298,0.25,781.1293329744151,1175.3537780797885,-394.22444510537343,394.22444510537343
1315,47.71518037669559,0.34,0.35,843.1665068080583,1237.2920165427245,-394.12550973466614,394.12550973466614
452,136.54967490710862,0.4,0.175,770.7904493793196,1164.9071696750393,-394.1167202957197,394.1167202957197
9372,27.74508513943644,0.239,0.2,913.458685539601,1307.360724238488,-393.90203869888705,393.90203869888705
3930,149.8456656669808,0.399,0.25,790.5702566912877,1184.3049664905714,-393.7347097992837,393.7347097992837
9661,70.83817435218563,5.4,4.7,11868.165847982882,12261.606235970485,-393.44038798760266,393.44038798760266
6542,64.66743076759919,0.0909,0.09,281.61850848974217,-111.65363923633345,393.2721477260756,393.2721477260756
9092,148.45363841787653,0.1769,0.195,490.40655736461696,883.5597921998767,-393.15323483525975,393.15323483525975
2217,101.60636514098351,0.2369,0.31,1440.944801497087,1047.8528955689444,393.0919059281425,393.0919059281425
9679,31.93207631080721,0.33,0.33,822.5487575129098,1215.5688065390643,-393.02004902615454,393.02004902615454
9051,35.96783805715392,0.99,1.0,2525.141669783592,2132.276147915517,392.8655218680751,392.8655218680751
6176,31.240654585953056,0.385,0.45,2092.7423959900498,1700.0630724640093,392.67932352604043,392.67932352604043
8554,64.79565006410935,0.235,0.17,784.6178674065154,1177.2537904947103,-392.6359230881949,392.6359230881949
9816,44.28930995247751,0.345,0.35,1627.6885302144833,1235.1205892880957,392.56794092638756,392.56794092638756
8135,268.27069550250826,0.6,0.89,2580.264734082172,2187.9522408041494,392.31249327802243,392.31249327802243
4794,61.5574547561387,0.25,0.299,739.4401811482957,1131.4704587828364,-392.03027763454077,392.03027763454077
8163,34.78106096224151,0.199,0.187,890.4928688593043,1282.4743124885338,-391.9814436292295,391.9814436292295
3753,29.39657685895125,0.248,0.25,784.245537676696,1176.0910102600847,-391.84547258338864,391.84547258338864
8600,86.30227959312886,0.2,0.175,817.8935102709371,1209.6986205517271,-391.80511028079,391.80511028079
2042,36.15598803265705,0.23,0.1799,814.7810328662463,1206.4523994286933,-391.671366562447,391.671366562447
4196,34.39071920532171,3.1,3.1,7863.162073822801,7471.803948605832,391.3581252169688,391.3581252169688
2931,69.14758459179623,1.11,0.2769,790.9967623305984,1182.1246871297978,-391.1279247991995,391.1279247991995
375,66.04070964018517,0.2,0.2,829.4243827982631,1220.4405070483651,-391.01612425010205,391.01612425010205
9787,75.907738604092,3.4269,0.725,1830.727710593104,2221.6875710848076,-390.9598604917037,390.9598604917037
8938,62.75223327551335,0.348,0.355,868.4126053461448,1259.3283574324564,-390.9157520863116,390.9157520863116
8000,70.5970003697576,0.1715,0.17,794.525124263196,1185.23053141413,-390.705407150934,390.705407150934
6060,73.74389742814222,0.385,0.4,1005.4356683918908,1396.1374095406284,-390.7017411487376,390.7017411487376
901,88.99681656675585,0.399,0.199,876.4988538656265,1267.044604527865,-390.54575066223845,390.54575066223845
2051,33.76649506864122,0.175,0.18,849.0800160310325,1239.4650696673875,-390.385053636355,390.385053636355
460,72.68607026651122,0.385,0.32,781.8264207188852,1171.8782455935293,-390.0518248746441,390.0518248746441
9620,113.4774386199732,0.149,0.19,728.4341532076501,1118.1697666867542,-389.73561347910413,389.73561347910413
2050,24.9787580683326,0.65,0.619,1904.6896604709727,1515.210970536512,389.4786899344608,389.4786899344608
9479,32.45494675437795,0.5,0.222,726.7967310581516,1116.147467163682,-389.35073610553036,389.35073610553036
6530,112.61982517510135,0.34,0.3,945.3634623970116,1334.6360975309185,-389.2726351339069,389.2726351339069
7179,35.66766810805696,7.0,4.75,12447.96776192258,12060.055493566091,387.9122683564892,387.9122683564892
8455,156.78011942489803,4.0,4.4,11540.814278980868,11152.948206218149,387.86607276271934,387.86607276271934
8146,164.41985136049107,0.4,0.49,1207.3955795528573,819.573349965119,387.8222295877383,387.8222295877383
3099,178.23170209088872,0.175,0.175,449.55424799239375,837.166777515721,-387.6125295233273,387.6125295233273
8365,112.23386234964414,0.25,0.2,550.9402441601269,938.2044974193923,-387.2642532592654,387.2642532592654
6172,58.11032977519294,0.25,0.25,1139.378324883244,752.5088703708345,386.86945451240945,386.86945451240945
2842,159.8740623319816,0.19,0.19,615.0120757951112,1001.7539965688239,-386.74192077371276,386.74192077371276
4110,161.00638509047874,0.08,0.12,386.3912829622011,772.1805297564102,-385.78924679420913,385.78924679420913
4374,47.39404388219548,0.4269,0.18,773.1023522321187,1158.6656851194512,-385.5633328873324,385.5633328873324
6352,34.99098106137647,0.72,0.75,2258.9133095987386,1873.80903311202,385.1042764867186,385.1042764867186
9404,120.72721349616246,0.3,0.2333,1066.938668572026,682.0346698475715,384.9039987244545,384.9039987244545
7023,39.07651866815205,0.089,0.0569,230.24379290407865,615.0000822612349,-384.7562893571562,384.7562893571562
8208,102.50832548385388,0.25,0.23,931.6070279369808,1316.170294337984,-384.56326640100315,384.56326640100315
