token_id,rarity_score,last_sale_price,price,priceUsd,predictions,residual,abs_residual
7179,35.66766810805696,6.9,4.0,10064.6032790921,11344.434015386916,-1279.8307362948162,1279.8307362948162
8154,32.004312439284945,2.0445430000000004,1.872,4731.435313203158,6010.505219143317,-1279.0699059401586,1279.0699059401586
5283,61.39606902299785,1.0,1.475,3724.5839629307984,2445.6010810559246,1278.9828818748738,1278.9828818748738
2325,149.7481564178001,0.196,0.22,1015.3878284084316,2293.4273998581757,-1278.039571449744,1278.039571449744
6784,192.0534915630753,25.0,5.5,13888.279183809756,12610.262163536803,1278.0170202729532,1278.0170202729532
4230,58.20257195179198,2.328,2.35,5960.78415273664,7238.395690534593,-1277.6115377979531,1277.6115377979531
2889,58.3365159754033,0.17,0.17,542.1276076695905,1818.9107122193868,-1276.7831045497965,1276.7831045497965
3759,106.06487567379176,2.22,0.376,1514.8627826413476,2791.2973995800094,-1276.4346169386617,1276.4346169386617
9541,142.83095552416916,2.0,1.9,4819.357400084943,6095.260405960933,-1275.90300587599,1275.90300587599
8587,33.6608054221064,3.3894,3.35,8278.872800043791,9554.487827307443,-1275.6150272636514,1275.6150272636514
3134,66.83078702759423,0.297,0.287,1324.6195761509996,2600.1882655860054,-1275.5686894350058,1275.5686894350058
4114,137.21662558637055,0.292,0.293,807.1274576945859,2080.650505768881,-1273.523048074295,1273.523048074295
5568,156.7916202195792,3.1328,4.0,10146.015579126197,8872.723931683075,1273.2916474431222,1273.2916474431222
385,39.56879138441054,0.194,0.175,821.4472938978064,2093.7983767708965,-1272.35108287309,1272.35108287309
2862,160.29429882853236,2.0,2.88,7272.408008976746,6000.194353531877,1272.213655444869,1272.213655444869
9470,43.17710450027885,4.1,4.188,10968.627338737671,12240.242800265374,-1271.6154615277028,1271.6154615277028
8919,106.23117214863812,1.0,1.0,2525.141669783592,3796.7343969760655,-1271.5927271924734,1271.5927271924734
7576,60.44096830201938,3.17,2.35,5960.78415273664,7231.337512758576,-1270.553360021936,1270.553360021936
5050,99.6246549547668,0.25,0.9,4076.1697030551513,2806.0970425394844,1270.072660515667,1270.072660515667
5174,87.80905343503179,2.3,2.14,5428.118334832514,6698.076922947282,-1269.9585881147677,1269.9585881147677
8442,304.4179669591722,0.7969,1.42,4276.875866173612,3007.529152644686,1269.346713528926,1269.346713528926
9665,42.966102288452085,3.69,1.856,4690.9956951415925,5959.355297670007,-1268.3596025284141,1268.3596025284141
6927,232.33840724159705,3.333,4.44,11262.077292830076,9994.393111052463,1267.684181777613,1267.684181777613
4634,153.25617942917728,2.0,2.5,6318.690322119603,5051.141557697758,1267.5487644218447,1267.5487644218447
3213,167.7729735872424,0.379,0.355,864.2622143392055,2128.2166168645304,-1263.954402525325,1263.954402525325
8394,25.733396202573942,0.1994,0.189,788.3480866843315,2051.284204682063,-1262.9361179977313,1262.9361179977313
1735,28.096347102924955,3.79,3.8,10092.034574851428,11354.393933391599,-1262.3593585401704,1262.3593585401704
3965,100.39457519941656,5.5,5.48,13804.52522998102,15066.29611085507,-1261.77088087405,1261.77088087405
2769,129.24350227698184,1.169,1.72,4343.243672027777,5601.903162429851,-1258.659490402074,1258.659490402074
6660,17.942782245527525,0.875,0.777,2340.234188744293,3597.7437767097163,-1257.5095879654232,1257.5095879654232
2509,51.0640643738207,2.55,2.2,5580.308568519407,6835.540294319901,-1255.2317258004932,1255.2317258004932
3001,610.2306983531345,0.49,0.7,3230.779454026828,4484.037667352712,-1253.2582133258838,1253.2582133258838
9137,52.23428887442726,3.55,3.39,8883.092550532427,10135.414668671503,-1252.3221181390763,1252.3221181390763
949,109.00697748147483,4.49,4.8,12091.554945968775,13341.543746504214,-1249.9888005354387,1249.9888005354387
8344,57.64747004497016,3.45,3.9,9892.36518964804,8642.498256253155,1249.8669333948856,1249.8669333948856
406,136.97736881179853,4.98,5.69,14333.530758867157,13084.152096810398,1249.378662056759,1249.378662056759
6136,84.35914394875444,0.375,0.4999,2324.804275012057,3573.7173246508364,-1248.9130496387793,1248.9130496387793
3385,56.31148716818176,2.7,2.69,6823.195476962366,8068.8720517120055,-1245.6765747496393,1245.6765747496393
9814,105.57688162236316,0.21,0.33,1523.0817426126475,2767.8940034472057,-1244.8122608345582,1244.8122608345582
6764,16.08001619579797,0.199,0.15,538.8933012697901,1783.4883998954865,-1244.5950986256964,1244.5950986256964
9400,165.5576817392582,0.195,0.185,789.3623000888738,2033.9347776516483,-1244.5724775627746,1244.5724775627746
1686,100.37777963577062,1.25,0.42,1849.897078510368,3094.0663342713005,-1244.1692557609326,1244.1692557609326
