token_id,1of1_rarity,watch_rarity,background_rarity,beard_rarity,chain_rarity,eyes_rarity,hat_over_headphones_rarity,hat_under_headphones_rarity,headphones_rarity,long_hair_rarity,mouth_rarity,shirt_rarity,short_hair_rarity,smoke_rarity,type_rarity
100,0.0,0.1459,0.1956,0.0,0.0,0.7254,0.0,0.0121,0.2421,0.0,0.7936,0.0551,0.0,0.3735,0.3958
101,0.0,0.01,0.1846,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0215,0.0221,0.3735,0.3958
102,0.0,0.1954,0.1846,0.0,0.0,0.7254,0.0,0.0041,0.3949,0.0752,0.7936,0.0,0.0,0.3735,0.5916
103,0.0,0.0,0.1846,0.0,0.0,0.7254,0.0143,0.0,0.0532,0.0,0.7936,0.0,0.0,0.381,0.5916
104,0.0,0.1954,0.2075,0.0,0.0395,0.7254,0.0,0.0,0.104,0.1839,0.7936,0.0,0.0,0.3735,0.5916
105,0.0,0.1954,0.1956,0.0,0.0,0.7254,0.0,0.0,0.0115,0.0,0.7936,0.0425,0.0348,0.3735,0.3958
106,0.0,0.0518,0.1974,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0565,0.0,0.381,0.5916
107,0.0,0.0555,0.2075,0.0,0.0,0.0342,0.0,0.0101,0.3949,0.0,0.7936,0.0611,0.0,0.381,0.3958
108,0.0,0.0,0.1846,0.0,0.0,0.0547,0.0,0.0,0.0732,0.0,0.7936,0.0,0.0272,0.0747,0.3958
109,0.0,0.1954,0.1956,0.0,0.0395,0.7254,0.0,0.0101,0.2421,0.1839,0.2064,0.0,0.0,0.381,0.5916
110,0.0,0.0,0.1956,0.0,0.0,0.0342,0.0,0.0,0.0879,0.0,0.2064,0.0425,0.0199,0.3735,0.5916
111,0.0,0.0,0.1846,0.0,0.0,0.7254,0.0,0.0,0.0532,0.1839,0.7936,0.0215,0.0,0.3735,0.5916
112,0.0,0.1954,0.2075,0.0,0.0,0.7254,0.0,0.0085,0.3949,0.0752,0.2064,0.0565,0.0,0.381,0.3958
113,0.0,0.0083,0.1974,0.0,0.0,0.0526,0.0,0.0,0.3949,0.0,0.7936,0.0,0.0152,0.0,0.5916
114,0.0,0.0518,0.2023,0.0,0.0,0.7254,0.0,0.0,0.0879,0.0,0.2064,0.0,0.0,0.381,0.5916
115,0.0,0.0,0.1974,0.0,0.0,0.7254,0.0,0.0135,0.0532,0.1839,0.7936,0.0,0.0,0.381,0.5916
116,0.0,0.1006,0.1974,0.0,0.0395,0.7254,0.0,0.0084,0.3949,0.0,0.7936,0.0,0.0,0.0747,0.3958
117,0.0,0.0472,0.2075,0.1036,0.0,0.0613,0.0,0.0,0.0879,0.0,0.7936,0.0,0.0,0.381,0.5916
118,0.0,0.0,0.1846,0.0,0.0,0.7254,0.0,0.0,0.0532,0.1839,0.7936,0.0,0.0,0.3735,0.5916
119,0.0,0.1459,0.1956,0.0,0.0,0.7254,0.0,0.0208,0.0879,0.0,0.7936,0.0675,0.0,0.381,0.3958
120,0.0,0.0472,0.1974,0.0,0.0,0.7254,0.0,0.0,0.104,0.0,0.7936,0.0565,0.0,0.3735,0.5916
121,0.0,0.0082,0.1956,0.0,0.0,0.7254,0.0,0.0109,0.104,0.1839,0.7936,0.0,0.0,0.381,0.3958
122,0.0,0.1459,0.1974,0.0,0.0,0.7254,0.0,0.0089,0.0879,0.1839,0.2064,0.0,0.0,0.3735,0.5916
123,0.0,0.1954,0.2075,0.0,0.0,0.0613,0.0,0.012,0.2421,0.0,0.7936,0.0675,0.0,0.0,0.3958
124,0.0,0.1954,0.1846,0.0,0.0,0.7254,0.0,0.0,0.0532,0.0,0.7936,0.0,0.0,0.0,0.3958
125,0.0,0.0,0.1956,0.0,0.0,0.0613,0.0,0.0,0.3949,0.0,0.7936,0.0611,0.0348,0.3735,0.5916
126,0.0,0.1459,0.2023,0.0,0.0,0.0342,0.0,0.0,0.0732,0.0,0.7936,0.0565,0.0,0.3735,0.3958
127,0.0,0.1954,0.1846,0.1036,0.0,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0,0.0,0.0747,0.5916
128,0.0,0.0555,0.1846,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0,0.0221,0.3735,0.3958
129,0.0,0.0,0.2023,0.0,0.0,0.7254,0.0,0.012,0.3949,0.0,0.7936,0.0361,0.0,0.3735,0.3958
130,0.0,0.0761,0.1956,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0192,0.0,0.381,0.3958
131,0.0,0.1459,0.1974,0.0,0.0,0.7254,0.0,0.0,0.0732,0.1839,0.2064,0.0551,0.0,0.3735,0.3958
132,0.0,0.1459,0.1974,0.0,0.0,0.0547,0.0,0.0,0.3949,0.0,0.7936,0.0,0.0272,0.0747,0.3958
133,0.0,0.0555,0.2075,0.0,0.0395,0.0547,0.0,0.0,0.104,0.0,0.7936,0.0,0.0,0.3735,0.5916
134,0.0,0.1459,0.1974,0.0,0.0,0.0,0.0,0.0,0.104,0.0,0.2064,0.0326,0.0272,0.381,0.3958
135,0.0,0.1006,0.2075,0.0,0.0,0.7254,0.0,0.0109,0.0879,0.1839,0.2064,0.0361,0.0,0.0,0.5916
136,0.0,0.0325,0.2075,0.0,0.0,0.7254,0.0,0.0,0.0879,0.0,0.7936,0.0,0.0068,0.3735,0.3958
137,0.0,0.1459,0.1956,0.0,0.0,0.7254,0.0,0.0,0.0532,0.1839,0.7936,0.0,0.0,0.0,0.3958
138,0.0,0.1006,0.1974,0.0,0.0,0.0613,0.0,0.0097,0.3949,0.0,0.2064,0.0,0.0,0.381,0.5916
139,0.0,0.0,0.1846,0.0,0.0,0.7254,0.0,0.019,0.3949,0.0,0.7936,0.0,0.0,0.0747,0.3958
140,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.1954,0.2023,0.0,0.0,0.0342,0.0,0.0,0.3949,0.0,0.2064,0.0565,0.0,0.3735,0.3958
142,0.0,0.0,0.1956,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.2064,0.0611,0.0221,0.0,0.5916
143,0.0,0.1954,0.2023,0.0,0.0,0.7254,0.0,0.0085,0.2421,0.0,0.7936,0.0,0.0,0.3735,0.5916
144,0.0,0.0,0.1956,0.0,0.0,0.0,0.0,0.0,0.2421,0.0,0.7936,0.0,0.0,0.0,0.3958
145,0.0,0.0,0.1846,0.0,0.0,0.7254,0.0146,0.0,0.0274,0.0,0.7936,0.0097,0.0,0.381,0.5916
146,0.0,0.1459,0.1974,0.0,0.0395,0.7254,0.0,0.0084,0.3949,0.0,0.2064,0.0,0.0,0.0,0.5916
147,0.0,0.1954,0.2023,0.0,0.0,0.7254,0.0,0.0,0.2421,0.0,0.7936,0.0326,0.0076,0.0,0.3958
148,0.0,0.01,0.1974,0.0,0.0,0.0613,0.0,0.0,0.0732,0.0,0.7936,0.0,0.0348,0.3735,0.5916
149,0.0,0.0,0.2075,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.2064,0.0,0.0172,0.0,0.5916
150,0.0,0.032,0.1846,0.1036,0.0,0.7254,0.0,0.0,0.104,0.1839,0.2064,0.0,0.0,0.381,0.5916
151,0.0,0.1006,0.2075,0.1036,0.0,0.7254,0.0,0.0084,0.2421,0.0,0.7936,0.0326,0.0,0.0747,0.3958
152,0.0,0.0472,0.2075,0.0,0.0,0.7254,0.0,0.0089,0.3949,0.0752,0.2064,0.0326,0.0,0.381,0.5916
153,0.0,0.0083,0.2023,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0,0.0,0.3735,0.3958
154,0.0,0.1954,0.1846,0.0,0.0,0.7254,0.0,0.02,0.0274,0.0,0.7936,0.0675,0.0,0.381,0.5916
155,0.0,0.1459,0.1974,0.0,0.0,0.0342,0.0,0.0,0.3949,0.0,0.7936,0.0361,0.0074,0.381,0.5916
156,0.0,0.0472,0.1974,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.2064,0.0,0.0,0.3735,0.5916
157,0.0,0.1954,0.1974,0.0,0.0,0.7254,0.0,0.0,0.2421,0.0,0.2064,0.0,0.0,0.381,0.3958
158,0.0,0.0,0.2023,0.0,0.0,0.7254,0.0,0.0,0.0732,0.0,0.2064,0.0,0.0272,0.3735,0.5916
159,0.0,0.0,0.2075,0.1036,0.0,0.0613,0.0,0.0,0.0879,0.0,0.7936,0.0,0.0,0.381,0.5916
160,0.0,0.0472,0.2075,0.1036,0.0,0.7254,0.0,0.0,0.0532,0.0,0.7936,0.0425,0.0,0.381,0.5916
161,0.0,0.0,0.1956,0.0,0.0,0.0613,0.0,0.0,0.3949,0.0,0.7936,0.0,0.0348,0.3735,0.5916
162,0.0,0.0,0.1846,0.0,0.0,0.0,0.0,0.0,0.2421,0.0,0.7936,0.0215,0.0272,0.0,0.5916
163,0.0,0.1006,0.2023,0.0,0.0,0.0526,0.0,0.0124,0.2421,0.0,0.7936,0.0,0.0,0.0,0.5916
164,0.0,0.0518,0.2023,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0551,0.0,0.0,0.3958
165,0.0,0.0472,0.1846,0.1036,0.0,0.7254,0.0,0.0,0.0532,0.0,0.2064,0.0,0.0,0.381,0.5916
166,0.0,0.1954,0.1956,0.1036,0.0,0.7254,0.0,0.0,0.2421,0.0,0.2064,0.0,0.0,0.3735,0.5916
167,0.0,0.0,0.2075,0.0,0.0,0.0526,0.0,0.012,0.0532,0.1839,0.2064,0.0,0.0,0.3735,0.3958
168,0.0,0.1954,0.2023,0.0,0.0,0.7254,0.0,0.0,0.2421,0.0,0.2064,0.0192,0.0,0.381,0.3958
169,0.0,0.0,0.2023,0.0,0.0,0.0526,0.0,0.0,0.3949,0.0,0.7936,0.0,0.0,0.381,0.5916
170,0.0,0.1954,0.1956,0.0,0.0,0.0,0.0,0.0,0.0274,0.0,0.7936,0.0675,0.0,0.381,0.5916
171,0.0,0.1954,0.2023,0.0,0.0,0.7254,0.0,0.0097,0.3949,0.0,0.2064,0.0326,0.0,0.381,0.5916
172,0.0,0.0,0.1846,0.0,0.0,0.7254,0.0,0.0,0.0532,0.0,0.7936,0.0,0.0068,0.0,0.5916
173,0.0,0.0761,0.2023,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0565,0.0172,0.3735,0.3958
174,0.0,0.1006,0.1956,0.0,0.0,0.0547,0.0146,0.0,0.104,0.0,0.7936,0.0215,0.0,0.0747,0.5916
175,0.0,0.1954,0.2075,0.1036,0.0395,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0,0.0,0.381,0.5916
176,0.0,0.1954,0.1974,0.0,0.0,0.7254,0.0,0.0,0.104,0.0,0.7936,0.0551,0.0,0.381,0.5916
177,0.0,0.0325,0.1846,0.0,0.0,0.7254,0.0,0.0109,0.3949,0.0,0.7936,0.0,0.0,0.0747,0.5916
178,0.0,0.0,0.2075,0.0,0.0,0.0547,0.0,0.0,0.2421,0.0,0.7936,0.0,0.0348,0.3735,0.3958
179,0.0,0.1954,0.1846,0.1036,0.0,0.0526,0.0,0.0,0.2421,0.0,0.7936,0.0,0.0,0.381,0.5916
180,0.0,0.1459,0.1846,0.0,0.0,0.0526,0.0,0.0,0.104,0.1839,0.7936,0.0302,0.0,0.381,0.5916
181,0.0,0.1954,0.1974,0.1036,0.0,0.7254,0.0,0.0088,0.3949,0.0752,0.2064,0.0611,0.0,0.0,0.3958
182,0.0,0.0,0.2075,0.0,0.0,0.7254,0.0,0.0,0.0732,0.0,0.7936,0.0,0.0,0.3735,0.5916
183,0.0,0.1459,0.1956,0.0,0.0,0.7254,0.0,0.0,0.0274,0.0,0.7936,0.0,0.0221,0.381,0.3958
184,0.0,0.1954,0.2075,0.0,0.0395,0.7254,0.0,0.0,0.2421,0.0,0.7936,0.0,0.0074,0.3735,0.3958
185,0.0,0.1954,0.1846,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0752,0.7936,0.0326,0.0,0.3735,0.5916
186,0.0,0.1459,0.1956,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0,0.7936,0.0361,0.0,0.3735,0.5916
187,0.0,0.0083,0.2075,0.0,0.0,0.7254,0.0,0.0108,0.2421,0.0,0.7936,0.0302,0.0,0.3735,0.5916
188,0.0,0.0,0.2023,0.0,0.0,0.7254,0.0,0.0208,0.3949,0.0,0.7936,0.0,0.0,0.381,0.3958
189,0.0,0.0555,0.1846,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0752,0.7936,0.0,0.0,0.3735,0.5916
190,0.0,0.0,0.1974,0.0,0.0,0.7254,0.0,0.0108,0.3949,0.0,0.2064,0.0192,0.0,0.381,0.5916
191,0.0,0.1954,0.1846,0.0,0.0,0.7254,0.0,0.0208,0.3949,0.0,0.2064,0.0565,0.0,0.3735,0.5916
192,0.0,0.1459,0.1846,0.0,0.0,0.7254,0.0,0.0,0.3949,0.0752,0.2064,0.0425,0.0,0.381,0.5916
193,0.0,0.1954,0.1956,0.0,0.0,0.7254,0.0,0.0,0.2421,0.1839,0.7936,0.0425,0.0,0.0,0.5916
194,0.0,0.0,0.1974,0.0,0.0,0.7254,0.0,0.0,0.2421,0.0752,0.7936,0.0,0.0,0.381,0.5916
195,0.0,0.0,0.2075,0.0,0.0,0.0293,0.0,0.0,0.104,0.0,0.7936,0.0,0.0,0.381,0.5916
196,0.0,0.0,0.1974,0.0,0.0,0.0526,0.0,0.0086,0.3949,0.0,0.2064,0.0,0.0,0.3735,0.3958
