token_id,1/1,4:20 watch,background,beard,chain,eyes,hat over headphones,hat under headphones,headphones,long hair,mouth,shirt,short hair,smoke,type
6262,0,sub turquoise,blue,0,0,regular eyes,0,headband blue/white,white headphones,0,smile,0,0,pipe,plain mfer
6263,0,sub black,green,0,0,regular eyes,0,0,red headphones,long hair black,smile,collared shirt blue,0,0,charcoal mfer
6264,0,0,red,0,0,regular eyes,0,0,black headphones,0,smile,0,0,cig black,plain mfer
6265,0,sub turquoise,yellow,0,0,eye mask,0,0,black headphones,0,smile,0,mohawk blue,cig white,charcoal mfer
6266,0,sub turquoise,yellow,0,0,nerd glasses,0,0,gold headphones,long hair black,flat,0,0,cig black,plain mfer
6267,0,sub red,blue,0,0,regular eyes,0,knit baltimore,red headphones,0,flat,hoodie down gray,0,cig white,charcoal mfer
6268,0,0,red,0,0,regular eyes,0,headband blue/green,black headphones,0,smile,0,0,cig white,plain mfer
6269,0,sub red,orange,0,0,regular eyes,0,0,pink headphones,0,smile,hoodie down white,0,0,plain mfer
6270,0,sub red,yellow,full beard,0,shades,0,0,white headphones,long hair black,smile,0,0,cig white,charcoal mfer
6271,0,0,red,full beard,0,regular eyes,0,0,black headphones,0,smile,0,messy yellow,0,charcoal mfer
6272,0,oyster silver,blue,0,0,regular eyes,0,bandana dark gray,red headphones,0,smile,0,0,cig black,plain mfer
6273,0,sub black,green,0,0,regular eyes,0,0,black headphones,0,smile,hoodie down green,0,cig black,plain mfer
6274,0,sub red,red,0,0,nerd glasses,0,0,white headphones,long hair black,smile,0,0,cig white,plain mfer
6275,0,0,green,0,0,regular eyes,0,0,red headphones,0,smile,hoodie down blue,0,cig black,plain mfer
6276,0,sub red,blue,full beard,0,shades,0,knit chicago,white headphones,long hair black,smile,0,0,cig black,plain mfer
6277,0,oyster silver,graveyard,0,0,zombie eyes,0,0,white headphones,long hair black,smile,collared shirt green,0,cig white,zombie mfer
6278,0,sub lantern (green),red,full beard,0,regular eyes,0,knit cleveland,blue headphones,0,smile,0,0,cig black,plain mfer
6279,0,argo black,yellow,0,0,purple shades,0,knit san fran,blue headphones,0,smile,0,0,cig white,plain mfer
6280,0,oyster gold,orange,0,0,regular eyes,0,0,pink headphones,long hair black,smile,hoodie down white,0,cig white,plain mfer
6281,0,oyster silver,red,0,0,regular eyes,0,bandana dark gray,white headphones,0,smile,collared shirt white,0,cig black,plain mfer
6282,0,0,orange,0,0,regular eyes,0,knit baltimore,white headphones,long hair black,smile,0,0,cig black,charcoal mfer
6283,0,0,yellow,0,0,regular eyes,0,0,black headphones,0,smile,hoodie down red,0,pipe,charcoal mfer
6284,0,sub black,green,0,0,nerd glasses,0,knit atlanta,black headphones,long hair yellow,smile,collared shirt white,0,0,plain mfer
6285,0,oyster silver,yellow,0,0,eye mask,0,0,black headphones,0,flat,collared shirt blue,0,cig black,charcoal mfer
6286,0,sub red,green,0,0,regular eyes,0,0,white headphones,0,flat,collared shirt white,0,cig white,plain mfer
6287,0,argo black,blue,0,0,shades,0,knit cleveland,green headphones,0,smile,0,0,pipe,plain mfer
6288,0,sub black,red,full beard,0,regular eyes,0,knit baltimore,red headphones,0,smile,hoodie down blue,0,pipe,plain mfer
6289,0,sub bat (blue/black),yellow,0,0,regular eyes,0,0,white headphones,long hair black,smile,0,0,0,charcoal mfer
6290,0,sub lantern (green),graveyard,0,0,zombie eyes,0,0,black headphones,0,smile,hoodie down gray,0,cig white,zombie mfer
6291,0,sub black,green,0,0,regular eyes,0,0,black headphones,0,smile,hoodie down gray,0,cig black,plain mfer
6292,0,sub black,green,0,0,regular eyes,0,0,lined headphones,long hair black,smile,hoodie down green,0,cig white,plain mfer
6293,0,sub blue,orange,0,0,regular eyes,0,knit kc,white headphones,0,smile,0,0,cig black,plain mfer
6294,0,sub lantern (green),yellow,0,0,regular eyes,0,0,white headphones,long hair black,flat,0,0,cig white,charcoal mfer
6295,0,0,blue,0,0,purple shades,0,0,black headphones,long hair yellow,smile,hoodie down white,0,pipe,plain mfer
6296,0,oyster gold,red,0,0,purple shades,0,0,lined headphones,0,smile,0,mohawk yellow,cig black,charcoal mfer
6297,0,0,yellow,0,0,regular eyes,0,headband blue/green,pink headphones,long hair black,smile,0,0,cig white,plain mfer
6298,0,oyster silver,yellow,full beard,0,regular eyes,0,0,white headphones,0,smile,collared shirt white,0,0,charcoal mfer
6299,0,sub black,yellow,0,0,regular eyes,0,0,black headphones,0,smile,hoodie down blue,mohawk black,cig black,plain mfer
6300,0,sub lantern (green),orange,0,0,regular eyes,hoodie,0,black headphones,0,smile,0,0,cig black,plain mfer
6301,0,oyster silver,red,0,0,regular eyes,0,0,white headphones,0,smile,0,0,cig black,plain mfer
6302,0,0,green,full beard,0,regular eyes,0,headband blue/green,white headphones,long hair yellow,smile,0,0,0,plain mfer
6303,0,sub red,blue,0,0,regular eyes,0,0,black headphones,0,smile,0,mohawk green,cig black,charcoal mfer
6304,0,sub black,orange,0,0,regular eyes,0,0,pink headphones,0,smile,0,messy yellow,cig white,plain mfer
6305,0,sub rose,green,0,0,regular eyes,0,headband pink/white,black headphones,0,smile,0,0,cig white,plain mfer
6306,0,sub red,green,0,0,regular eyes,0,0,lined headphones,long hair black,smile,0,0,pipe,plain mfer
6307,0,oyster silver,orange,0,0,regular eyes,0,0,black headphones,0,smile,0,messy red,cig black,plain mfer
6308,0,0,blue,0,0,regular eyes,0,bandana dark gray,black headphones,0,flat,0,0,cig white,plain mfer
6309,0,sub black,green,0,0,regular eyes,0,0,white headphones,0,flat,0,0,cig white,plain mfer
6310,0,sub black,blue,0,0,regular eyes,0,0,white headphones,long hair black,smile,0,0,pipe,charcoal mfer
6311,0,oyster gold,green,0,0,shades,0,0,white headphones,0,smile,collared shirt blue,mohawk green,cig white,charcoal mfer
6312,0,0,blue,0,0,regular eyes,0,0,blue headphones,0,flat,collared shirt white,0,pipe,charcoal mfer
6313,0,sub blue,orange,0,0,regular eyes,0,0,black headphones,0,smile,collared shirt white,0,cig white,plain mfer
6314,0,sub red,yellow,0,0,regular eyes,0,0,white headphones,0,smile,hoodie down gray,0,0,plain mfer
6315,0,0,blue,0,0,regular eyes,cowboy hat,0,white headphones,long hair black,smile,hoodie down white,0,cig white,plain mfer
6316,0,oyster gold,red,0,0,regular eyes,0,knit cleveland,green headphones,0,smile,collared shirt green,0,cig white,plain mfer
6317,0,sub black,green,0,silver chain,regular eyes,0,knit pittsburgh,blue headphones,0,smile,0,0,pipe,plain mfer
6318,0,sub turquoise,blue,0,0,regular eyes,0,0,pink headphones,long hair black,flat,0,0,cig black,plain mfer
6319,0,sub black,green,0,0,regular eyes,0,cap monochrome,white headphones,0,smile,0,0,cig white,charcoal mfer
6320,0,sub black,blue,full beard,0,regular eyes,0,0,black headphones,0,smile,0,mohawk blue,cig black,charcoal mfer
6321,0,sub cola (blue/red),blue,0,0,regular eyes,0,0,white headphones,long hair black,smile,collared shirt green,0,pipe,charcoal mfer
6322,0,oyster silver,orange,0,0,regular eyes,0,cap purple,white headphones,0,smile,collared shirt white,0,cig black,charcoal mfer
6323,0,sub blue,green,0,0,purple shades,0,knit chicago,black headphones,0,smile,collared shirt blue,0,cig black,plain mfer
